iter	Passed	Remaining
0	15	1537
1	30	1486
2	40	1305
3	50	1203
4	62	1181
5	76	1195
6	90	1200
7	101	1162
8	111	1130
9	120	1085
10	127	1033
11	133	980
12	137	920
13	143	882
14	149	848
15	155	816
16	161	789
17	168	767
18	176	751
19	182	728
20	187	706
21	194	688
22	200	669
23	206	654
24	218	654
25	230	654
26	238	645
27	245	631
28	255	625
29	262	611
30	268	597
31	274	583
32	280	569
33	286	555
34	292	542
35	298	530
36	305	519
37	315	514
38	323	505
39	330	495
40	336	483
41	341	472
42	347	461
43	354	451
44	360	441
45	367	430
46	372	420
47	378	410
48	384	400
49	390	390
50	396	381
51	402	371
52	408	362
53	414	353
54	420	344
55	426	335
56	432	326
57	438	317
58	445	309
59	457	304
60	470	300
61	483	296
62	493	290
63	505	284
64	512	275
65	518	267
66	524	258
67	531	249
68	538	242
69	544	233
70	551	225
71	559	217
72	566	209
73	572	201
74	578	192
75	584	184
76	590	176
77	597	168
78	603	160
79	608	152
80	614	144
81	621	136
82	628	128
83	634	120
84	639	112
85	645	105
86	651	97
87	658	89
88	664	82
89	670	74
90	676	66
91	682	59
92	688	51
93	693	44
94	703	37
95	713	29
96	721	22
97	727	14
98	734	7
99	743	0
